path,modality,vocal_channel,emotion,emotional_intensity,statement,repetition,actor,mfcc,chroma,zcr,rms
D:\Projects\emotion-detection-knn\audio_data\Actor_01\03-01-01-01-01-01-01.wav,03,01,01,01,01,01,01,"[-7.2621722e+02  6.8541420e+01  3.2933977e+00  1.2205300e+01
  5.5102777e+00  1.3667410e+01 -2.9838283e+00  3.0980291e+00
 -3.3108134e+00 -1.5643841e+00 -7.8616524e+00 -2.1242816e+00
  2.8492036e+00 -2.6678061e+00  9.5902020e-01  1.6281663e+00
 -2.7366891e+00  2.5424102e-01  2.6753771e+00 -1.7611655e+00
 -1.8864743e+00 -9.7561991e-01 -3.7943727e-01  4.0027288e-01
 -3.0440438e+00 -2.9012582e+00 -1.0924793e-01 -8.6356515e-01
 -3.3332694e+00 -1.9784652e+00  4.5708156e-01 -1.3991097e+00
 -2.9268556e+00  1.3956648e-02 -4.9073392e-01 -5.7090551e-01
  4.0399317e-02 -1.2072173e+00 -1.5949817e+00 -1.4364872e+00]","[0.661944   0.6534767  0.6185918  0.61364436 0.62883884 0.61762685
 0.6302996  0.6411734  0.64398605 0.6239454  0.6338995  0.629672  ]",[0.05047568],[0.00211971]
D:\Projects\emotion-detection-knn\audio_data\Actor_01\03-01-01-01-01-02-01.wav,03,01,01,01,01,02,01,"[-7.1912830e+02  7.0201569e+01  1.1683969e+00  1.3122543e+01
  7.8369498e+00  1.4411290e+01 -4.1113596e+00  4.4689732e+00
 -3.5393667e+00 -3.6586072e+00 -7.6485038e+00 -1.4770775e+00
  3.0318210e+00 -2.4618676e+00  5.9473437e-01  9.7845030e-01
 -2.8361645e+00  7.3815562e-02  1.7593119e+00 -2.0631857e+00
 -2.3056278e+00 -6.6225386e-01 -9.4788116e-01  4.9746621e-01
 -1.6925769e+00 -3.4717650e+00 -2.6927552e-01 -7.7677810e-01
 -4.0910745e+00 -1.2800431e+00  2.7546003e-01 -2.5214698e+00
 -2.9876728e+00  4.0973505e-01 -4.8418438e-01 -1.3983907e+00
  2.5520337e-01 -9.8497850e-01 -2.0930610e+00 -1.0407910e+00]","[0.6322878  0.6571941  0.6288535  0.5925068  0.62354463 0.6293039
 0.5982504  0.60242736 0.6381042  0.65010995 0.6632767  0.6389561 ]",[0.05290442],[0.00225803]
D:\Projects\emotion-detection-knn\audio_data\Actor_01\03-01-01-01-02-01-01.wav,03,01,01,01,02,01,01,"[-7.1499573e+02  6.9689346e+01  3.9245636e+00  1.1924190e+01
  6.4217234e+00  1.1011615e+01 -2.8781028e+00  4.5095577e+00
 -4.4761090e+00 -2.6715496e+00 -7.4992833e+00 -2.9622657e+00
  1.8734848e+00 -2.9128890e+00  5.2569199e-01  1.3727964e+00
 -2.3648307e+00 -2.0204957e+00  1.6025525e+00 -1.5617238e+00
 -3.7207894e+00 -1.8949177e+00  3.7380663e-01  1.2185683e+00
 -2.7771025e+00 -2.7254190e+00 -8.1274438e-01 -5.0705564e-01
 -2.8577120e+00 -1.1507950e+00 -2.1191824e-03 -9.0915143e-01
 -3.0459552e+00 -3.7329423e-01 -8.4914505e-01 -9.2210466e-01
 -1.7031977e-01 -1.1444227e+00 -1.7256125e+00 -1.4505606e+00]","[0.6585758  0.65334284 0.63692373 0.63771445 0.62660265 0.5954112
 0.6069137  0.61143315 0.6347722  0.58680785 0.5789052  0.6124113 ]",[0.04662688],[0.00270718]
D:\Projects\emotion-detection-knn\audio_data\Actor_01\03-01-01-01-02-02-01.wav,03,01,01,01,02,02,01,"[-7.1097528e+02  6.7564880e+01  5.7822404e+00  1.3230727e+01
  6.1908450e+00  1.2628252e+01 -1.6751695e+00  5.6574936e+00
 -4.9506340e+00 -3.4775453e+00 -7.4165578e+00 -1.9370040e+00
  2.2715254e+00 -6.1125535e-01  1.7463192e-01  1.3954356e+00
 -2.3914657e+00 -6.6533786e-01  1.7429572e+00 -4.9506843e-01
 -3.0143747e+00 -9.7913343e-01  5.3461403e-01  2.6846281e-01
 -2.3651779e+00 -2.6703410e+00 -1.3975949e+00 -4.3934062e-02
 -2.1590412e+00 -1.5748216e+00 -4.0380603e-01 -1.3296506e+00
 -2.5134048e+00 -1.9027612e-01 -6.4594877e-01 -5.5391860e-01
  4.5929855e-01 -1.5800847e+00 -1.6476823e+00 -1.5095106e+00]","[0.62909573 0.60272986 0.5897198  0.5667398  0.63033044 0.6468605
 0.61997473 0.6118847  0.6339445  0.5979601  0.6021102  0.619935  ]",[0.05383547],[0.00252077]
D:\Projects\emotion-detection-knn\audio_data\Actor_01\03-01-02-01-01-01-01.wav,03,01,02,01,01,01,01,"[-7.5992175e+02  7.5783524e+01  6.0236044e+00  1.4557394e+01
  6.4541883e+00  1.4631508e+01 -3.0045512e+00  4.6209702e+00
 -5.2000160e+00 -7.0743006e-01 -7.7902870e+00 -3.5649488e+00
  2.1809700e+00 -1.8324065e+00 -3.5027331e-01  8.2926047e-01
 -2.5235541e+00 -6.6125250e-01  2.9179912e+00 -1.9391866e+00
 -3.0332396e+00 -2.9330766e-01 -2.4490705e-01 -5.4066634e-01
 -2.9568312e+00 -2.1041048e+00 -1.4002061e+00 -9.2538911e-01
 -3.7227931e+00 -1.9921645e+00  2.0646299e-01 -2.1885817e+00
 -2.8355007e+00  4.6374577e-01 -1.0191672e+00 -1.4114405e+00
  3.5043317e-01 -1.5198916e+00 -1.2501124e+00 -6.1385149e-01]","[0.55688137 0.5957137  0.6107088  0.59007627 0.60636175 0.62004566
 0.59432936 0.59653175 0.6165105  0.63836545 0.67059195 0.60280323]",[0.04592932],[0.0015787]
D:\Projects\emotion-detection-knn\audio_data\Actor_01\03-01-02-01-01-02-01.wav,03,01,02,01,01,02,01,"[-7.3500659e+02  7.9093048e+01  8.1410513e+00  1.1413549e+01
  5.1741238e+00  1.5393283e+01 -2.7520719e+00  2.9645836e+00
 -5.3889713e+00 -1.6918324e+00 -5.8528347e+00 -4.0432878e+00
  3.0046408e+00 -1.0366162e+00 -6.7756340e-02  8.8213295e-02
 -2.2095819e+00 -1.4559770e+00  2.5682304e+00 -1.5963124e+00
 -2.6786845e+00 -1.4108758e+00  1.1890578e-01 -1.2726340e-01
 -2.8479033e+00 -1.7715892e+00 -1.8862904e+00 -7.9116219e-01
 -3.2154911e+00 -2.1809146e+00  2.4123263e-01 -2.2474451e+00
 -2.2200978e+00 -2.4941182e-01 -9.7588968e-01 -9.5585352e-01
 -2.5904390e-01 -2.1528797e+00 -1.9730748e+00 -1.6481354e+00]","[0.6055415  0.60012    0.61589223 0.6468392  0.6694971  0.65347224
 0.67188394 0.6592276  0.66119206 0.6497308  0.6541785  0.6409563 ]",[0.03303844],[0.00167621]
D:\Projects\emotion-detection-knn\audio_data\Actor_01\03-01-02-01-02-01-01.wav,03,01,02,01,02,01,01,"[-7.3352490e+02  8.1589859e+01  4.8633575e+00  1.4423686e+01
  5.2676888e+00  1.3968560e+01 -3.0856161e+00  7.1732454e+00
 -4.8214388e+00 -9.6744877e-01 -6.2504735e+00 -3.8666399e+00
  3.3255188e+00 -1.6680715e+00  1.9813906e+00  9.6502519e-01
 -2.9701676e+00  9.2509615e-01  2.6618712e+00 -2.6867020e+00
 -4.0897026e+00 -1.1427792e+00 -4.1476127e-02  6.3960409e-01
 -4.4370980e+00 -1.9786650e+00 -1.6683793e+00 -1.2961590e-01
 -2.6481974e+00 -1.7407794e+00 -2.4314985e-01 -1.4994991e+00
 -3.4421825e+00  1.0794884e+00 -1.8406905e+00 -1.1412958e+00
 -5.4689205e-01 -1.8944058e+00 -1.6738300e+00 -9.7683465e-01]","[0.60739774 0.6206045  0.6402099  0.6402175  0.6329777  0.63051325
 0.62089366 0.6088845  0.6202651  0.6091498  0.6396043  0.617281  ]",[0.04595038],[0.0025555]
D:\Projects\emotion-detection-knn\audio_data\Actor_01\03-01-02-01-02-02-01.wav,03,01,02,01,02,02,01,"[-7.2836298e+02  8.2324936e+01  7.5005765e+00  1.2542465e+01
  6.7881250e+00  1.4805659e+01 -2.9095805e+00  6.9378386e+00
 -4.8443394e+00 -1.8469232e+00 -5.6877098e+00 -3.6666534e+00
  2.2403512e+00 -1.4234433e+00  1.2192734e+00  1.1254896e+00
 -2.7243204e+00  4.1269568e-01  2.7799656e+00 -1.6963865e+00
 -3.6588929e+00 -6.3426167e-01 -3.7053522e-01  9.7238272e-01
 -4.1021852e+00 -2.8252192e+00 -1.5755265e+00 -5.6038320e-01
 -1.8017431e+00 -1.6020300e+00 -6.3597643e-01 -9.1452157e-01
 -2.7520132e+00  3.6075658e-01 -1.9869834e+00 -1.1664826e+00
 -4.2687809e-01 -2.1698256e+00 -1.7610772e+00 -4.0719303e-01]","[0.57746804 0.59149724 0.5926297  0.5849154  0.59550637 0.6067954
 0.61696374 0.6304002  0.65943444 0.6362215  0.6472517  0.6064738 ]",[0.04764337],[0.00260765]
D:\Projects\emotion-detection-knn\audio_data\Actor_01\03-01-02-02-01-01-01.wav,03,01,02,02,01,01,01,"[-7.7162524e+02  8.3327553e+01  9.7596073e+00  1.4268048e+01
  6.2017260e+00  1.6020977e+01 -2.8468983e+00  4.4702501e+00
 -5.5362620e+00  8.7879485e-01 -5.3482485e+00 -3.0295560e+00
  2.3405733e+00  6.6528338e-01  1.3866222e+00 -2.2842802e-02
 -2.4285932e+00  2.4819545e-01  2.2790198e+00 -1.0718266e+00
 -1.7045929e-01 -2.2938859e+00  8.6474363e-03  2.5945902e+00
 -3.9040556e+00 -2.8804715e+00 -2.2999480e-01 -6.3468808e-01
 -3.3271010e+00 -1.5811127e+00  1.7730479e-01 -1.4821043e+00
 -1.4364231e+00  6.9877565e-01 -1.6221272e+00 -7.3856688e-01
 -6.3427734e-01 -1.8994279e+00 -2.5306485e+00 -2.0102644e+00]","[0.5927866  0.63465226 0.63498163 0.6419931  0.6791036  0.7002105
 0.70741963 0.6710331  0.6184625  0.5963579  0.648167   0.6251483 ]",[0.03624225],[0.00145285]
D:\Projects\emotion-detection-knn\audio_data\Actor_01\03-01-02-02-01-02-01.wav,03,01,02,02,01,02,01,"[-7.3398962e+02  8.2991570e+01  3.7967939e+00  1.3411559e+01
  3.1084962e+00  1.6039553e+01 -5.6529450e+00  5.5606713e+00
 -7.8409872e+00 -1.1772103e+00 -5.7287869e+00 -4.1096940e+00
  3.8823819e+00 -1.0434910e+00  1.0040573e+00 -1.4276097e+00
 -2.6036158e+00 -4.3864205e-01  1.8452337e+00 -2.6793857e+00
 -1.4740663e+00 -1.8256137e+00 -2.5426906e-01  1.7353023e+00
 -4.2389956e+00 -2.1476488e+00 -5.3182352e-01 -1.0767623e-01
 -3.4672797e+00 -1.6796225e+00 -3.9436305e-01 -2.1952236e+00
 -2.3580539e+00 -2.6949856e-01 -9.1077602e-01 -9.7108704e-01
 -1.1833144e+00 -2.2724657e+00 -2.1504445e+00 -2.1373334e+00]","[0.58824354 0.58036184 0.583779   0.6103137  0.62083507 0.6410724
 0.63753045 0.6368476  0.60104597 0.57123876 0.59415466 0.5983284 ]",[0.04488292],[0.00155122]
D:\Projects\emotion-detection-knn\audio_data\Actor_01\03-01-02-02-02-01-01.wav,03,01,02,02,02,01,01,"[-7.3595868e+02  8.3716248e+01  8.7207403e+00  1.6973064e+01
  1.3004173e+00  1.6308208e+01 -2.9989035e+00  8.1803846e+00
 -9.6817732e+00  1.4794084e+00 -8.1055393e+00 -3.2144182e+00
  3.2796299e+00  3.1779954e-01  2.8170178e+00 -3.4872141e-01
 -2.9823356e+00  1.2632201e+00  1.0595355e+00 -2.9681041e+00
 -2.5794728e+00 -1.8215866e+00 -1.6087782e+00  5.6213844e-01
 -4.6880345e+00 -3.7237337e+00 -3.9201394e-01  1.0166954e-01
 -3.5758033e+00 -2.9248941e+00  5.1331085e-01 -1.1766058e+00
 -3.2791839e+00  8.9711219e-01 -1.9701830e+00 -1.8539388e+00
 -5.5244935e-01 -2.6094398e+00 -2.0077810e+00 -1.0270190e+00]","[0.5551195  0.58259004 0.5471618  0.50180113 0.5378357  0.5478303
 0.53476447 0.5163489  0.53460133 0.606444   0.69642854 0.60666126]",[0.05152542],[0.00205121]
