path,modality,vocal_channel,emotion,emotional_intensity,statement,repetition,actor,mfcc,chroma,zcr,rms
D:\Projects\emotion-detection-knn\audio_data\Actor_03\03-01-06-01-02-01-03.wav,03,01,06,01,02,01,03,-1.0508161529720512,1.314778829451613,0.372235397474354,-0.13937259346067088
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_19\03-01-02-02-02-01-19.wav,03,01,02,02,02,01,19,-0.18088181273853812,-2.0006801493789332,-0.9734098742611511,-0.6655875774300997
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_01\03-01-06-02-01-02-01.wav,03,01,06,02,01,02,01,0.4441637817022944,0.14199073862222372,0.6759331751619249,0.9163873649122876
D:\Projects\emotion-detection-knn\audio_data\Actor_13\03-01-03-01-01-01-13.wav,03,01,03,01,01,01,13,1.4008453039859712,-0.11379930838536063,-0.6709635107943557,-0.5472728219991246
D:\Projects\emotion-detection-knn\audio_data\Actor_04\03-01-01-01-01-01-04.wav,03,01,01,01,01,01,04,-0.4509318522621656,1.5514683395660163,-1.1030802501772472,-0.6283595538746668
D:\Projects\emotion-detection-knn\audio_data\Actor_24\03-01-02-01-02-01-24.wav,03,01,02,01,02,01,24,-0.35723679306181466,-0.48878621318001597,-0.21803898592331486,-0.6903086061219686
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_20\03-01-03-02-01-01-20.wav,03,01,03,02,01,01,20,1.1385737454263536,-0.7255780188452639,-1.4637954508412772,0.22663583459717065
D:\Projects\emotion-detection-knn\audio_data\Actor_21\03-01-05-01-01-01-21.wav,03,01,05,01,01,01,21,-1.3341826765240712,-2.1653135854946686,0.2771916970335569,1.334584360059413
D:\Projects\emotion-detection-knn\audio_data\Actor_11\03-01-06-02-02-02-11.wav,03,01,06,02,02,02,11,-0.028988506688346485,0.7088872438270147,0.2503836112855989,1.52314466150007
D:\Projects\emotion-detection-knn\audio_data\Actor_22\03-01-02-01-01-01-22.wav,03,01,02,01,01,01,22,-1.142888808640742,-1.4126470033156653,-0.01897835126181872,-0.6954516998520566
D:\Projects\emotion-detection-knn\audio_data\Actor_07\03-01-06-01-01-01-07.wav,03,01,06,01,01,01,07,-0.9032271985797745,-1.2610769758363747,-1.5764953083372337,-0.5355560081501047
D:\Projects\emotion-detection-knn\audio_data\Actor_22\03-01-02-02-01-02-22.wav,03,01,02,02,01,02,22,-0.4814130707819368,-1.1176919691842822,-0.11289489917511634,-0.6693203892876809
D:\Projects\emotion-detection-knn\audio_data\Actor_15\03-01-06-02-02-02-15.wav,03,01,06,02,02,02,15,-0.015461511887521347,0.8785409690939996,-0.11762399131610486,0.5786643248086228
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_10\03-01-05-02-01-01-10.wav,03,01,05,02,01,01,10,-1.5670459830436374,0.11981038944158903,0.6617283041629196,3.081604598079068
D:\Projects\emotion-detection-knn\audio_data\Actor_05\03-01-06-01-02-02-05.wav,03,01,06,01,02,02,05,-0.9338829509665223,0.9274605264610019,-0.44591238834021524,-0.45121496744123635
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_23\03-01-04-01-02-02-23.wav,03,01,04,01,02,02,23,-1.3485495855892795,-1.3306762639750749,-0.17505213767697422,-0.47847743311397006
D:\Projects\emotion-detection-knn\audio_data\Actor_23\03-01-07-02-01-01-23.wav,03,01,07,02,01,01,23,-0.6637173538072673,-0.3553946875289198,-0.5416840643646272,-0.23773995751317795
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_22\03-01-02-01-01-02-22.wav,03,01,02,01,01,02,22,-1.8464560443218694,-1.0508815408470824,-0.18488145754727514,-0.6895436523076834
D:\Projects\emotion-detection-knn\audio_data\Actor_07\03-01-01-01-01-01-07.wav,03,01,01,01,01,01,07,-1.139551784115638,1.19801752260172,0.21467706870590525,-0.6101975972499669
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_14\03-01-08-02-02-02-14.wav,03,01,08,02,02,02,14,-0.4478356755138485,0.14757174800744194,1.7377982791165345,-0.476241163878166
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_09\03-01-04-02-01-01-09.wav,03,01,04,02,01,01,09,-1.5243957655785858,-0.320838344342629,-0.5224597907199895,-0.7385023239832456
D:\Projects\emotion-detection-knn\audio_data\Actor_10\03-01-06-01-02-02-10.wav,03,01,06,01,02,02,10,-0.30292595192420063,0.3179917876249857,1.9465546248365346,-0.23039151821211873
D:\Projects\emotion-detection-knn\audio_data\Actor_14\03-01-07-01-02-02-14.wav,03,01,07,01,02,02,14,-0.07608143715462651,-0.16225271461472937,0.7228793528475467,-0.2515180777575007
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_10\03-01-06-02-01-01-10.wav,03,01,06,02,01,01,10,-2.2463933653891477,0.18878182470888633,2.8847732958464087,1.0763302558921422
D:\Projects\emotion-detection-knn\audio_data\Actor_10\03-01-08-01-02-01-10.wav,03,01,08,01,02,01,10,-0.6768193628129847,-0.2370533136480121,2.120566631353976,0.7668331977549493
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_05\03-01-07-02-02-01-05.wav,03,01,07,02,02,01,05,-2.3606603410651927,-0.24626220764113446,0.39582587512917533,-0.420424762635602
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_20\03-01-06-01-02-01-20.wav,03,01,06,01,02,01,20,-1.2041836463556281,-1.0012332456298592,0.19406997135070078,-0.7164399166863444
D:\Projects\emotion-detection-knn\audio_data\Actor_04\03-01-04-02-02-02-04.wav,03,01,04,02,02,02,04,0.3992568801771912,-0.4681509094203242,1.638868926523619,0.7844425973159261
D:\Projects\emotion-detection-knn\audio_data\Actor_22\03-01-06-01-01-01-22.wav,03,01,06,01,01,01,22,-1.2915588190840022,-1.120749784383416,0.21934897847476725,-0.3191644083599205
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_11\03-01-02-01-02-02-11.wav,03,01,02,01,02,02,11,-0.4898894563408425,-0.667805879835829,-0.8631963502917087,-0.7092517921740238
D:\Projects\emotion-detection-knn\audio_data\Actor_21\03-01-04-01-01-02-21.wav,03,01,04,01,01,02,21,0.026062381716617858,-0.6251671839482984,-0.5099231054616843,-0.6082005795262904
